name,position,height,reflexes,strength,speed,passing,finishing,stamina,tackling,dribbling,skills
Mohamed El Shenawy,GOALKEEPER,88,95,82,60,72,20,85,25,30,40
El Mahdy Soliman,GOALKEEPER,87,91,80,62,70,18,82,22,28,38
Mostafa Shobeir,GOALKEEPER,85,99,81,59,68,17,80,20,25,35
Mohamed Awad,GOALKEEPER,86,88,78,61,69,19,79,21,27,36
Ahmed El Shenawy,GOALKEEPER,87,90,79,60,71,18,81,22,26,37
Mahmoud Hamdy El Wensh,DEFENDER,83,35,92,72,70,40,86,93,50,55
Ahmed Hegazi,DEFENDER,85,34,95,68,72,45,84,94,48,54
Ramy Rabia,DEFENDER,84,33,90,70,73,42,82,90,51,58
Yasser Ibrahim,DEFENDER,82,32,88,72,71,40,85,89,52,56
Mohamed Abdelmonem,DEFENDER,84,36,89,76,74,43,88,91,60,62
Ali Gabr,DEFENDER,85,30,91,65,69,38,80,88,45,50
Omar Kamal,DEFENDER,79,40,80,82,78,55,90,82,75,77
Mohamed Hany,DEFENDER,78,38,78,84,79,50,89,80,74,75
Ahmed Fattouh,DEFENDER,78,39,76,88,80,53,91,81,78,79
Akram Tawfik,DEFENDER,77,37,82,83,77,48,88,85,70,73
Hamdy Fathy,MIDFIELDER,80,35,88,75,83,58,92,88,72,76
Marwan Attia,MIDFIELDER,79,36,82,78,85,60,90,82,75,80
Emam Ashour,MIDFIELDER,80,38,84,86,84,72,94,80,86,85
Mohamed Magdy Afsha,MIDFIELDER,78,40,70,72,92,80,84,60,88,90
Nabil Emad Dunga,MIDFIELDER,82,34,87,74,80,55,91,89,65,70
Ahmed Sayed Zizo,MIDFIELDER,81,42,78,88,89,84,94,70,90,91
Mohamed Ibrahim,MIDFIELDER,76,40,68,70,91,78,80,58,89,92
Abdallah El Said,MIDFIELDER,78,38,65,68,94,77,82,55,86,94
Mostafa Fathi,MIDFIELDER,77,39,66,84,85,80,83,55,91,90
Taher Mohamed Taher,MIDFIELDER,79,37,75,86,82,76,90,65,84,83
Mohamed Salah,STRIKER,75,30,75,96,88,97,93,55,96,97
Mostafa Mohamed,STRIKER,85,28,90,82,72,89,88,60,75,74
Omar Marmoush,STRIKER,78,32,80,92,84,91,90,58,92,90
Ahmed Hassan Kouka,STRIKER,84,27,88,78,70,84,85,55,72,70
Kahraba,STRIKER,79,30,78,84,75,82,87,58,80,78
Mohamed Sherif,STRIKER,78,31,75,86,78,88,89,60,83,80
Mostafa Shalaby,STRIKER,77,30,74,87,80,81,88,55,86,84
Fakhreddine Ben Youssef,STRIKER,80,29,79,82,77,83,86,56,81,79
Hussein El Shahat,STRIKER,77,32,72,88,84,82,90,57,90,88
Ramadan Sobhi,STRIKER,81,31,84,85,82,80,89,62,91,89
Ahmed Refaat,MIDFIELDER,78,38,72,84,86,78,85,60,88,87
Karim Fouad,DEFENDER,76,39,74,87,80,60,88,76,82,81
Mahmoud Saber,MIDFIELDER,78,37,76,80,82,68,87,75,79,81
Ahmed Nabil Koka,MIDFIELDER,79,36,81,78,84,65,89,83,77,79
Mohamed Shehata,MIDFIELDER,80,35,80,79,80,64,88,82,76,78
Ahmed Atef,STRIKER,79,29,77,83,75,80,86,58,80,77
Youssef Obama,MIDFIELDER,79,37,72,82,84,74,87,68,85,84
Mido Gaber,MIDFIELDER,78,36,73,81,81,72,85,66,83,82
Mohamed Farouk,STRIKER,78,30,74,82,76,79,84,55,81,79
Mahmoud Hamada,MIDFIELDER,81,34,86,74,80,65,90,86,70,74
Sam Morsy,MIDFIELDER,79,35,87,76,83,67,92,88,72,75
Amr El Solia,MIDFIELDER,80,35,82,75,84,66,91,85,70,76
Mohamed Hamdy,DEFENDER,78,38,77,84,79,52,88,80,76,78
Baher El Mohamady,DEFENDER,82,34,88,73,72,45,84,89,58,60
Ahmed Samy,DEFENDER,83,33,89,72,73,44,83,90,56,58
Mahmoud Alaa,DEFENDER,84,32,90,70,70,46,82,91,54,56
Karim El Eraki,DEFENDER,78,37,78,83,78,50,87,79,74,75
Mohamed Abdelghani,DEFENDER,82,33,87,71,71,42,83,88,55,57
Moustafa El Aash,DEFENDER,81,34,85,75,74,44,85,86,60,61
Mohamed Chibi,DEFENDER,79,38,76,85,81,54,89,78,78,80
Ahmed Tawfik,DEFENDER,78,36,77,81,79,52,86,80,73,76
Mahmoud Metwaly,DEFENDER,82,34,86,73,74,43,84,87,58,60
Mostafa Fawzy,STRIKER,80,28,81,80,74,82,85,57,78,76
Saleh Gomaa,MIDFIELDER,77,40,65,68,90,75,78,50,87,93